lob_id,gvkey,bvdid,naics,client_name
00ff00ee-44f1-5cef-82c6-ee8cfb5d4da9,,,,MAN ROLAND INC
00ffa888-7146-53f6-a34a-c3f598140c80,,,,I-WIRELESS LLC D/B/A/ ACCESS WIRELESS
01028781-6332-5e25-b57d-161903a36d19,,,,IOSTIA INTERNATIONAL OCEAN SCIENCE AND TECHNOLOGY INDUSTRY ASSOCIATION
01030f25-7830-5632-83c3-181948bb038a,,,,LIBERTY SAFE & SECURITY PRODUCTS INC
01056e31-3e4e-527d-aa83-265c59f2f988,003278,US060918165,532111,"AVIS BUDGET GROUP, INC."
010608df-95c6-50aa-8b06-7ff0c7f3795b,,,,VISION QUEST NATIONAL LTD
01074783-4c40-5fc2-a004-8f6f171891f8,,,,WEXNER HERITAGE VILLAGE
0107bc85-4954-55e2-ba31-b6650f7e26aa,,,,NETEASE INFORMATION TECHNOLOGY CORPORATION
0109a3d0-5276-52c7-b8ae-f5e00a918106,,,,"KNIGHTHEAD CAPITAL MANAGEMENT, LLC"
010a3d72-1723-55a5-bd67-e48b9a46f7cd,,,,PITTSBURGH CHILDRENS MUSEUM
010c3013-84ed-57f4-902e-6fd078577bfe,,,,BID4ASSETS INC
06e24b83-3df6-5a30-af2f-66d76b524ded,,,,"SKA AMERICA, INC."
010d45ca-5f59-596e-a6bb-5f33a411ab56,,,,LOWER LAKE RANCHERIA OF KOI INDIANS
01101fe2-2626-59ae-a1d9-266bbb23be5a,,,,CULPEPER REGIONAL HOSPITAL FOUNDATION
011055ca-bdc4-5f7e-93ce-acc51107fc45,,,,STARQUEST TECHNOLOGIES CORPORATION
011065bb-a44d-5a0d-856b-2a8eaa0cb8c0,,,,UNIVERSITY OF UTAH
0110b5ad-fcaf-5f32-bd73-d1bec58c58fb,,,,TEXAS HOSPITALITY GROUP
01110910-caf9-59d5-8ab8-dfbc566f7ebb,,,,THE MYELIN PROJECT
011111a1-0eac-537d-b230-59c56b4cc46d,,,,OFFSHORE RIG MUSEUM INC
0112dff8-1659-5f71-a37c-fbf85fee9b5e,014790,US860611231,236117,MERITAGE HOMES CORPORATION
0113189f-0a5f-51c7-ba29-26cf9b5beb38,,,,SOUND & SEA TECHNOLOGY
01136232-9f61-5a3f-abe5-27563a2014af,,,,"LLOYD'S REGISTER NORTH AMERICA, INC."
011503f0-3d8b-5d1b-a48d-6d62c6df2a4b,,,,NEW ROCHELLE NEIGHBORHOOD REVITALIZATION CORP
011b35bc-9c8b-56d3-a487-c874e28b08b7,,,,FUELTRUST
011c7383-6b8d-5c6a-8963-70998acd888e,,,,RUSS REID COMPANY
0122c0bc-fa4d-5155-b885-fcdfc841b89e,,,,CANNABIS TRADE FEDERATION ACTION
0122e418-b6db-5e77-a142-b1568249ee39,,,,NORTH AMERICAN ASSN OF FOOD EQUIPMENT MANUFACTURERS
012486b6-b6db-5934-b922-8fcc8553cb00,,,,"SOFTWARFARE, LLC"
0124bdc5-b52e-5495-ac35-57bb114909e3,,,,CBI ACQUISITIONS
012bc5e3-c9d3-54b3-9aa0-28c2598379df,038545,,522320,OPTIMAL PAYMENTS
012d3916-82a5-5331-b31b-56d5c0ce15dd,,,,ASPHALT INSTITUTE
012d6631-8504-5482-97b3-2a4af97ca63d,061685,US943156479,511210,"NUANCE COMMUNICATIONS, INC."
012de27f-ab0f-5abd-a84d-7b12abaf83fe,,,,SPECIAL NEEDS NETWORK INC.
0131428b-637d-5c81-bfbd-f3f10e6ebf6c,,,,ROCHESTER GAS & ELECTRIC CORP
0131f8ec-6c8b-5d37-96e9-e5245645bcd6,,,,HOME CARE & HOSPICE ASSOCIATION OF NEW JERSEY
013428de-a539-5b8f-bd28-5fbeb427949b,,,,CHURCHILL MORTGAGE
0135122b-f738-5d7e-82d6-41488b72b72d,,,,FEDERAL HOME LOAN BANK OF INDIANAPOLIS
013595a8-6192-5dd5-afdc-37f61f627e56,062257,US954627253,713290,YOUBETCOM
01375d43-7ba6-584d-af73-ccffa7806987,,,,CONTEXT LABS BV
013834dc-aac4-526e-9858-93382a53332c,,,,ARDMORE ASSOCIATES LLC
01385ae6-8a65-5461-8701-512236d56c3d,,,,COOLEY GROUP
0139abe8-d995-5a96-bc53-d016f1bd6c22,,,,EXCERA
013ace43-8731-5f95-892c-e045d9d59d4b,,,,"HARRY'S USA, INC."
013c2a37-2d39-55a1-9e35-fa9733b81af1,,,,OCG FIBER
013d9514-9978-5c3b-a56a-7962ada12365,,,,"BLUE GENES, LLC"
013f9d43-b03a-5cd9-b3c7-870ce59273c0,,,,SUPERGEN
0144cf7c-60a3-500d-a7dc-d24729ccefab,,,,EURAPAIR INTL
0144e6a2-aa18-55c8-a7bc-acb275739166,,,,THE DOCTORS HOSPITAL AT RENAISSANCE
0145694c-0a52-5fd0-8bf9-95d47e8ef656,,,,NORTH HAWAII COMMUNITY HOSPITAL
0145b909-270e-55d4-ab0f-34c84f51d6e0,,,,"FELLOWES, INC."
0147a3d3-5d09-5f0d-a2ed-6e5875396441,,,,LIBERTY TOOLS LLC
014cd79f-ae1f-59dc-aa22-56559a3224be,,,,CITY OF TAYLOR MI
0150757d-c837-5529-a3b2-ff9feb49c444,,,,ABTECH
01512109-f9bd-5792-b12f-130b901fc985,,,,GLADSTONE INSTITUTE
0151febc-0882-53d3-92a3-351c1465ef9d,,,,GRAPHJET TECHNOLOGY SDN BHD
01521f2c-f069-56d9-b84b-0c823fa47abf,,,,ALVERNO COLLEGE
0152a778-9888-50f7-af33-344d6af9af3b,,,,WILLIAMS BROS CONSTRUCTION CO
0153eb2a-d278-528c-92ca-2c0babb57c62,,,,CG CORR GROUP
01557cc7-4630-5025-ba16-0fbbd1d8079c,,,,LERNER ENTERPRISES
01573463-7af0-5328-971c-6c56a7cdae80,,,,HANCOCK REGIONAL HOSPITAL
0158d7d4-9ef6-5256-82b0-63a6a11743ca,339965,US460636374,518210,"LEAPYEAR TECHNOLOGIES, INC."
015aa235-4cec-5e5f-966e-67824c5d24f6,,,,HOMERO LUCERO
015bc9ce-7605-5b51-9afd-fef7ae126efa,,,,"IPKEYS TECHNOLOGIES, LLC"
015ce92d-fc5f-50d8-9391-e411dee25d5d,,,,WILSON COMPOSITES GROUP
015e2e86-3302-556c-9f33-c3f78f792aa4,,,,LAHEY CLINIC
015fc819-828a-56b6-a777-04073f13fd44,,,,MARC COALITION
015ff472-9dcc-5b68-a0fa-c32fbaa89e07,,,,"CITY OF LIMA, OHIO"
01611487-08ed-5f02-894e-b8fd9abdf782,,,,INSPORT
0163a160-cc83-56ed-a4d4-94c754ea5eb1,,,,"ZEPHER, INC."
