cik,name,year,Assets,NetIncomeLoss,Revenues,gvkey,lobbying_spend,roa
67887,MOOG INC.,2014,1257099000.0,40254000.0,2469536000.0,7549.0,,0.032021344380991475
67887,MOOG INC.,2014,1257099000.0,40254000.0,2469536000.0,7549.0,,0.032021344380991475
67887,MOOG INC.,2015,1220814000.0,120497000.0,634539000.0,7549.0,0.0,0.0987021773996694
67887,MOOG INC.,2015,1220814000.0,120497000.0,634539000.0,7549.0,0.0,0.0987021773996694
67887,MOOG INC.,2016,1220814000.0,131883000.0,514984000.0,7549.0,120000.0,0.10802874147904595
67887,MOOG INC.,2016,1220814000.0,131883000.0,514984000.0,7549.0,120000.0,0.10802874147904595
67887,MOOG INC.,2017,262389000.0,131883000.0,1124885000.0,7549.0,140000.0,0.5026239667059214
67887,MOOG INC.,2017,262389000.0,131883000.0,1124885000.0,7549.0,140000.0,0.5026239667059214
67887,MOOG INC.,2018,3090592000.0,40088000.0,145627000.0,7549.0,230000.0,0.01297097772853874
67887,MOOG INC.,2018,3090592000.0,40088000.0,145627000.0,7549.0,230000.0,0.01297097772853874
67887,MOOG INC.,2019,3114237000.0,96507000.0,9276000.0,7549.0,230000.0,0.030988970974270745
67887,MOOG INC.,2019,3114237000.0,96507000.0,9276000.0,7549.0,230000.0,0.030988970974270745
67887,MOOG INC.,2020,761874000.0,-77977000.0,102600000.0,7549.0,220000.0,-0.10234894483864786
67887,MOOG INC.,2020,761874000.0,-77977000.0,102600000.0,7549.0,220000.0,-0.10234894483864786
68709,MTS SYSTEMS CORP,2012,315357000.0,18576000.0,467368000.0,6900.0,,0.05890466994549035
68709,MTS SYSTEMS CORP,2013,94569000.0,50942000.0,100244000.0,6900.0,,0.5386754644756738
68709,MTS SYSTEMS CORP,2014,360037000.0,57806000.0,29058000.0,6900.0,,0.16055572066204307
68709,MTS SYSTEMS CORP,2015,451277000.0,57806000.0,1088000.0,6900.0,,0.1280942746915974
68709,MTS SYSTEMS CORP,2017,1188020000.0,25084000.0,131727000.0,6900.0,,0.021114122657867714
68709,MTS SYSTEMS CORP,2018,0.0,25084000.0,148056000.0,6900.0,,
68709,MTS SYSTEMS CORP,2019,1139396000.0,25084000.0,1026000.0,6900.0,,0.02201517295128296
68709,MTS SYSTEMS CORP,2020,-33000.0,-367000.0,-31000.0,6900.0,,11.121212121212121
69422,INTERGROUP CORP,2017,56356000.0,-7136000.0,72898000.0,163610.0,40000.0,-0.1266236070693449
70145,NATIONAL FUEL GAS CO,2010,4769129000.0,100708000.0,,7733.0,,0.02111664415032598
70145,NATIONAL FUEL GAS CO,2011,5284742000.0,258402000.0,,7733.0,,0.04889585905991248
70145,NATIONAL FUEL GAS CO,2012,198706000.0,115611000.0,,7733.0,,0.5818193713325214
70145,NATIONAL FUEL GAS CO,2013,6218347000.0,124189000.0,,7733.0,,0.019971384678275434
70145,NATIONAL FUEL GAS CO,2014,95793000.0,47842000.0,,7733.0,,0.49943106490035805
70145,NATIONAL FUEL GAS CO,2015,6204977000.0,13321000.0,,7733.0,,0.002146825040608531
70145,NATIONAL FUEL GAS CO,2016,2021514000.0,299413000.0,,7733.0,,0.1481132458147705
70145,NATIONAL FUEL GAS CO,2017,63392000.0,1509000.0,,7733.0,,0.023804265522463404
70145,NATIONAL FUEL GAS CO,2018,77138000.0,4348000.0,0.0,7733.0,,0.0563665119655682
70145,NATIONAL FUEL GAS CO,2019,1407152000.0,-21354000.0,1448228000.0,7733.0,,-0.01517533287093363
70145,NATIONAL FUEL GAS CO,2020,1848180000.0,391521000.0,478000.0,7733.0,,0.21184137908645262
70793,NBTY INC,2012,864231000.0,,1764755000.0,,,
70793,NBTY INC,2013,119395000.0,,36655000.0,,,
70793,NBTY INC,2014,692685000.0,,190675000.0,,,
