lob_id,year,lobbying_spend,gvkey
0043cba3-4bcb-504d-8851-3605a2fc2b03,2023.0,280000.0,14369.0
00899b55-b5b2-5de5-a02e-d11998391a8e,2008.0,35000.0,264418.0
00899b55-b5b2-5de5-a02e-d11998391a8e,2009.0,240000.0,264418.0
008f68aa-3ea9-5ae3-8f87-86dbae1f6d37,2001.0,0.0,7938.0
008f68aa-3ea9-5ae3-8f87-86dbae1f6d37,2002.0,0.0,7938.0
008f68aa-3ea9-5ae3-8f87-86dbae1f6d37,2005.0,0.0,7938.0
00b9d6d2-0fd4-5ab4-a3ff-05c90c1f0605,1999.0,60000.0,7658.0
00b9d6d2-0fd4-5ab4-a3ff-05c90c1f0605,2000.0,80000.0,7658.0
00b9d6d2-0fd4-5ab4-a3ff-05c90c1f0605,2001.0,80000.0,7658.0
00b9d6d2-0fd4-5ab4-a3ff-05c90c1f0605,2002.0,30000.0,7658.0
00c0ecbe-f281-57cf-a05e-3022b6df6a99,1999.0,0.0,8823.0
00c0ecbe-f281-57cf-a05e-3022b6df6a99,2011.0,40000.0,8823.0
00c0ecbe-f281-57cf-a05e-3022b6df6a99,2012.0,20000.0,8823.0
00c0ecbe-f281-57cf-a05e-3022b6df6a99,2013.0,30000.0,8823.0
00d09186-8532-5680-9766-b15d933adf2f,2020.0,30000.0,11228.0
00d09186-8532-5680-9766-b15d933adf2f,2021.0,20000.0,11228.0
00d09186-8532-5680-9766-b15d933adf2f,2022.0,10000.0,11228.0
00d09186-8532-5680-9766-b15d933adf2f,2023.0,10000.0,11228.0
00d2242d-c14a-5b7d-9324-37483a70ca6b,2009.0,90000.0,61655.0
00d2242d-c14a-5b7d-9324-37483a70ca6b,2010.0,120000.0,61655.0
00d2242d-c14a-5b7d-9324-37483a70ca6b,2011.0,60000.0,61655.0
00d2242d-c14a-5b7d-9324-37483a70ca6b,2020.0,60000.0,61655.0
00d2242d-c14a-5b7d-9324-37483a70ca6b,2021.0,230000.0,61655.0
00d2242d-c14a-5b7d-9324-37483a70ca6b,2022.0,140000.0,61655.0
00d2242d-c14a-5b7d-9324-37483a70ca6b,2023.0,60000.0,61655.0
013595a8-6192-5dd5-afdc-37f61f627e56,2002.0,20000.0,62257.0
013595a8-6192-5dd5-afdc-37f61f627e56,2003.0,60000.0,62257.0
013595a8-6192-5dd5-afdc-37f61f627e56,2004.0,260000.0,62257.0
013595a8-6192-5dd5-afdc-37f61f627e56,2005.0,100000.0,62257.0
02026f9d-d564-573e-84bd-380920b459e3,2020.0,20000.0,13839.0
02026f9d-d564-573e-84bd-380920b459e3,2021.0,60000.0,13839.0
02026f9d-d564-573e-84bd-380920b459e3,2022.0,30000.0,13839.0
023501d1-97db-58af-826f-65c02ecbe126,2013.0,200000.0,176521.0
023501d1-97db-58af-826f-65c02ecbe126,2014.0,240000.0,176521.0
023501d1-97db-58af-826f-65c02ecbe126,2015.0,240000.0,176521.0
02583105-0873-5e50-84e6-e232606a8b88,2018.0,126000.0,30571.0
02583105-0873-5e50-84e6-e232606a8b88,2019.0,255000.0,30571.0
